STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
"42","101","020101","3009","421010201013009",Block 3009,G5040,R,,,S,4112,0,"+40.0008333","-075.1566811"
"42","101","020102","1000","421010201021000",Block 1000,G5040,R,,,S,11683,0,"+40.0100272","-075.1515886"
"42","101","020101","1013","421010201011013",Block 1013,G5040,R,,,S,12302,0,"+40.0054819","-075.1525044"
"42","101","020300","1012","421010203001012",Block 1012,G5040,R,,,S,8527,0,"+40.0086396","-075.1502071"
"42","101","020000","2007","421010200002007",Block 2007,G5040,R,,,S,11188,0,"+40.0039545","-075.1519743"
"42","101","020000","2009","421010200002009",Block 2009,G5040,R,,,S,5366,0,"+40.0032656","-075.1507107"
"42","101","028200","1009","421010282001009",Block 1009,G5040,R,,,S,6509,0,"+40.0321209","-075.1359636"
"42","101","028400","1004","421010284001004",Block 1004,G5040,R,,,S,12208,0,"+40.0289387","-075.1393990"
"42","101","028300","4001","421010283004001",Block 4001,G5040,R,,,S,12199,0,"+40.0246113","-075.1419881"
"42","101","028400","2004","421010284002004",Block 2004,G5040,R,,,S,7184,0,"+40.0271996","-075.1378296"
"42","101","028400","1008","421010284001008",Block 1008,G5040,R,,,S,9652,0,"+40.0286221","-075.1369267"
"42","101","028400","3002","421010284003002",Block 3002,G5040,R,,,S,9342,0,"+40.0255451","-075.1369392"
"42","101","004002","1008","421010040021008",Block 1008,G5040,R,,,S,3535,0,"+39.9196752","-075.1656185"
"42","101","004002","2002","421010040022002",Block 2002,G5040,R,,,S,6655,0,"+39.9180658","-075.1653960"
"42","101","004002","2001","421010040022001",Block 2001,G5040,R,,,S,6006,0,"+39.9179909","-075.1648774"
"42","101","004104","1003","421010041041003",Block 1003,G5040,R,,,S,10481,0,"+39.9178365","-075.1636649"
"42","101","004101","5003","421010041015003",Block 5003,G5040,R,,,S,5222,0,"+39.9223649","-075.1590971"
